Component,BBa_I0462
name,type,information
BBa_B0034,ribosome binding site,"IIT Madras 2016's Characterization
by the abovemetioned RBS004 (BBa_K3740018), RBS009 (BBa_K374008), and RBS010 (BBa_K3740010) to obtain an array of resultant plasmids as listed in Table 1. These plasmids were then transformed into E. coli DH5”┴, we quantified the fluorescence intensity when the optical absorbance of bacterial culture at 600nm was around 0.2. And were analyzed with the fluorescent proteins expressed by RBS004, RBS009, and RBS010, respectively. 
"
BBa_C0062,,"We improved this part by using it in a part which allows for the constitutive expression of LuxR (BBa_K1893004). This part also includes the pLux promoter, so that genes placed downstream the promoter will be expressed when induced with 3OC6-AHL. We also made a part which allows for the characterisation of LuxR, as we placed GFP downstream the pLux promoter (BBa_K1893005). The part is currently being characterised. 

Unspecified.

Sequence and Features



"
BBa_B0015,terminator,
